DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
AG12	TAX6A.SM	31/01/2012	01/02/2012	5	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG13	TAX7A.SM	31/01/2012	01/02/2012	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG14	TAX4C.1	31/01/2012	01/02/2012	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG15	PLU5C.SM	31/01/2012	01/02/2012	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG16	TAX1A.1C	31/01/2012	01/02/2012	9	yeast-like	wild	none	Heather Robinson	labelled TAX1a.1a. single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG17	TAX13C.1	31/01/2012	01/02/2012	10	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG18	TAX13A.1	31/01/2012	01/02/2012	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG19	TAX12B.SM	31/01/2012	01/02/2012	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG20	TAX10B.SM	31/01/2012	01/02/2012	13	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG21	TAX11A.1	31/01/2012	01/02/2012	14	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
]AG22	TAX11A.SM	31/01/2012	01/02/2012	15	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG23	IGCI.1	31/01/2012	01/02/2012	16	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG24	IGCI.SM	31/01/2012	01/02/2012	17	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG25	IGCB.1C	31/01/2012	01/02/2012	18	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG26	MB4-ve	31/01/2012	01/02/2012	19	NA	wild	none	Heather Robinson	negative control
AG27	MB13A.1B	31/01/2012	01/02/2012	20	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG28	MB13A.1C	31/01/2012	01/02/2012	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG29	IGC-ve	31/01/2012	01/02/2012	22	NA	wild	none	Heather Robinson	negative control
AG30	MB4B.1C	31/01/2012	01/02/2012	23	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG31	TAX4C.1	31/01/2012	01/02/2012	24	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG32	ZP530.1A	31/01/2012	01/02/2012	1	S. cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG33	ZP566.1A	31/01/2012	01/02/2012	2	S. cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG34	TAX13-ve	31/01/2012	01/02/2012	3	NA	wild	none	Heather Robinson	negative control
AG35	PLU10-ve	31/01/2012	01/02/2012	4	NA	wild	none	Heather Robinson	negative control
AG36	TAX6A.SM	31/01/2012	01/02/2012	5	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG37	TAX7A.SM	31/01/2012	01/02/2012	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG38	TAX4C.1	31/01/2012	01/02/2012	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG39	PLU5C.SM	31/01/2012	01/02/2012	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG40	TAX1A.1C	31/01/2012	01/02/2012	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG41	TAX13C.1	31/01/2012	01/02/2012	10	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG42	TAX13A.1	31/01/2012	01/02/2012	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG43	TAX12B.SM	31/01/2012	01/02/2012	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG44	TAX10B.SM	31/01/2012	01/02/2012	13	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG45	TAX11A.1	31/01/2012	01/02/2012	14	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG46	TAX11A.SM	31/01/2012	01/02/2012	15	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG47	IGCI.1	31/01/2012	01/02/2012	16	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG48	IGCI.SM	31/01/2012	01/02/2012	17	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG49	IGCB.1C	31/01/2012	01/02/2012	18	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG50	MB4-ve	31/01/2012	01/02/2012	19	NA	wild	none	Heather Robinson	negative control
AG51	MB13A.1B	31/01/2012	01/02/2012	20	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG52	MB13A.1C	31/01/2012	01/02/2012	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG53	IGC-ve	31/01/2012	01/02/2012	22	NA	wild	none	Heather Robinson	negative control
AG54	MB4B.1C	31/01/2012	01/02/2012	23	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG55	TAX4C.1B	31/01/2012	01/02/2012	24	yeast-like	wild	none	Heather Robinson	single cream coloured yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG56	ZP565.IA.1	31/01/2012	03/02/2012	1	S.cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
AG57	PLU5B.1	31/01/2012	03/02/2012	2	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG58	PLU5B. SM	31/01/2012	03/02/2012	3	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG59	PLU5D.1	31/01/2012	03/02/2012	4	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG60	PLU5D. SM	31/01/2012	03/02/2012	5	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG61	PLU9D.1	31/01/2012	03/02/2012	6	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG62	PLU9D. SM	31/01/2012	03/02/2012	7	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG63	PLU10-VE	31/01/2012	03/02/2012	8	na	na	none	Ana Pinharanda	na
AG64	FRI1C.1	31/01/2012	03/02/2012	9	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG65	FRI1C. SM	31/01/2012	03/02/2012	10	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG66	FRI2D.1	31/01/2012	03/02/2012	11	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG67	FRI2D .SM	31/01/2012	03/02/2012	12	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG68	FRI3A.1	31/01/2012	03/02/2012	13	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG69	FRI3A .SM	31/01/2012	03/02/2012	14	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG70	FRI5-ve	31/01/2012	03/02/2012	15	na	na	none	Ana Pinharanda	na
AG71	FRI6A.1	31/01/2012	03/02/2012	16	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG72	FRI6A. SM	31/01/2012	03/02/2012	17	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG73	FRI9B.1	31/01/2012	03/02/2012	18	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG74	FRI9B .SM	31/01/2012	03/02/2012	19	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG75	FRI10B.1	31/01/2012	03/02/2012	20	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG76	FRI10B .SM	31/01/2012	03/02/2012	21	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG77	FRI9D.1	31/01/2012	03/02/2012	22	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG78	FRI9D. SM	31/01/2012	03/02/2012	23	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AG79	ZP565.IA .SM	31/01/2012	03/02/2012	24	S.cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
AG80	ZP565.IA.1	31/01/2012	03/02/2012	1	S.cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
AG81	PLU5B.1	31/01/2012	03/02/2012	2	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH01	PLU5B. SM	31/01/2012	03/02/2012	3	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH02	PLU5D.1	31/01/2012	03/02/2012	4	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH03	PLU5D. SM	31/01/2012	03/02/2012	5	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH04	PLU9D.1	31/01/2012	03/02/2012	6	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH05	PLU9D. SM	31/01/2012	03/02/2012	7	na	na	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH06	PLU10-VE	31/01/2012	03/02/2012	8	yeast-like	wild	none	Ana Pinharanda	na
AHO7	FRI1C.1	31/01/2012	03/02/2012	9	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH08	FRI1C. SM	31/01/2012	03/02/2012	10	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH09	FRI2D.1	31/01/2012	03/02/2012	11	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH10	FRI2D .SM	31/01/2012	03/02/2012	12	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH11	FRI3A.1	31/01/2012	03/02/2012	13	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH12	FRI3A. SM	31/01/2012	03/02/2012	14	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH13	FRI5-VE	31/01/2012	03/02/2012	15	na	na	none	Ana Pinharanda	na
AH14	FRI6A.1	31/01/2012	03/02/2012	16	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH15	FRI6A .SM	31/01/2012	03/02/2012	17	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH16	FRI9B.1	31/01/2012	03/02/2012	18	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH17	FRI9B. SM	31/01/2012	03/02/2012	19	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH18	FRI10B.1	31/01/2012	03/02/2012	20	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH19	FRI10B. SM	31/01/2012	03/02/2012	21	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH20	FRI9D .1B	31/01/2012	03/02/2012	22	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH21	FRI9D. SM	31/01/2012	03/02/2012	23	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH22	ZP565.IA. SM	31/01/2012	03/02/2012	24	S.cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
AH23	AN3-ve	05/02/2012	06/02/2012	1	NA	NA	NA	Heather Robinson	negative control
AH24	AN4F.1E	05/02/2012	06/02/2012	2	yeast-like	wild	none	Heather Robinson	formerly known as AN3, single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH25	FRI10-ve	05/02/2012	06/02/2012	3	NA	NA	NA	Heather Robinson	negative control
AH26	FRI14D.SM	05/02/2012	06/02/2012	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH27	FRI14D.1	05/02/2012	06/02/2012	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH28	FRI9D.SM 	05/02/2012	06/02/2012	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH29	FRI9D.1	05/02/2012	06/02/2012	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH30	FRI12B.SM	05/02/2012	06/02/2012	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH31	FRI12B.1	05/02/2012	06/02/2012	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH32	FRI1C.1	05/02/2012	06/02/2012	10	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH33	PYR-ve	05/02/2012	06/02/2012	11	NA	NA	NA	Heather Robinson	negative control
AH34	PYR1C.YM	05/02/2012	06/02/2012	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH35	PYR1E.1	05/02/2012	06/02/2012	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH36	PYR3C.1B	05/02/2012	06/02/2012	14	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH37	PYR5C.YM	05/02/2012	06/02/2012	15	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH38	PYR6C.1C	05/02/2012	06/02/2012	16	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH39	PYR6F.1C	05/02/2012	06/02/2012	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH40	PYR6F.YM	05/02/2012	06/02/2012	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH41	ZP530.1A	05/02/2012	06/02/2012	19	S.cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH42	ZP566.1A	05/02/2012	06/02/2012	20	S.cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH43	FRI11C.SM	05/02/2012	06/02/2012	21	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH44	FRI11C.1B	05/02/2012	06/02/2012	22	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH45	FRI14C.SM	05/02/2012	06/02/2012	23	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH46	FRI14C.1	05/02/2012	06/02/2012	24	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH47	AN4-ve	05/02/2012	06/02/2012	1	NA	NA	NA	Heather Robinson	formerly known as AN3, negative control
AH48	AN4F.1E	05/02/2012	06/02/2012	2	yeast-like	wild	none	Heather Robinson	formerly known as AN3, single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH49	FRI10-ve	05/02/2012	06/02/2012	3	NA	NA	NA	Heather Robinson	negative control
AH50	FRI14D.SM	05/02/2012	06/02/2012	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH51	FRI14D.1	05/02/2012	06/02/2012	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH52	FRI9D.SM 	05/02/2012	06/02/2012	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH53	FRI9D.1B	05/02/2012	06/02/2012	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH54	FRI12B.SM	05/02/2012	06/02/2012	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH55	FRI12B.1	05/02/2012	06/02/2012	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH56	FRI1C.1	05/02/2012	06/02/2012	10	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH57	PYR-ve	05/02/2012	06/02/2012	11	NA	NA	NA	Heather Robinson	negative control
AH58	PYR1C.YM	05/02/2012	06/02/2012	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH59	PYR1E.1	05/02/2012	06/02/2012	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH60	PYR3C.1B	05/02/2012	06/02/2012	14	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH61	PYR5C.YM	05/02/2012	06/02/2012	15	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH62	PYR6C.1C	05/02/2012	06/02/2012	16	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH63	PYR6F.1C	05/02/2012	06/02/2012	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD plate.
AH64	PYR6F.YM	05/02/2012	06/02/2012	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD plate.
AH65	ZP530.1A	05/02/2012	06/02/2012	19	S.cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH66	ZP566.1A	05/02/2012	06/02/2012	20	S.cerevisiae	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH67	FRI11C.SM	05/02/2012	06/02/2012	21	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH68	FRI11C.1B	05/02/2012	06/02/2012	22	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH69	FRI14C.SM	05/02/2012	06/02/2012	23	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH70	FRI14C.1	05/02/2012	06/02/2012	24	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
AH71	ZP565.IA.1	23/02/2012	27/02/2012	1	yeast-like	wild	none	Ana Pinharanda	
AH72	PLU21A.1	23/02/2012	27/02/2012	2	yeast-like	wild	none	Ana Pinharanda	
AH73	PLU21A. SM	23/02/2012	27/02/2012	3	yeast-like	wild	none	Ana Pinharanda	
AH74	PLU21B.1	23/02/2012	27/02/2012	4	yeast-like	wild	none	Ana Pinharanda	
AH75	PLU21B. SM	23/02/2012	27/02/2012	5	yeast-like	wild	none	Ana Pinharanda	
AH76	PLU22A.1	23/02/2012	27/02/2012	6	yeast-like	wild	none	Ana Pinharanda	
AH77	PLU22A. SM	23/02/2012	27/02/2012	7	yeast-like	wild	none	Ana Pinharanda	
AH78	PLU22B.1	23/02/2012	27/02/2012	8	yeast-like	wild	none	Ana Pinharanda	
AH79	PLU22B. SM	23/02/2012	27/02/2012	9	yeast-like	wild	none	Ana Pinharanda	
AH80	PLU VIN-VE	23/02/2012	27/02/2012	10	yeast-like	wild	none	Ana Pinharanda	
AH81	PLU11A. 1	23/02/2012	27/02/2012	11	yeast-like	wild	none	Ana Pinharanda	
AI1	PLU11A. SM	23/02/2012	27/02/2012	12	yeast-like	wild	none	Ana Pinharanda	
AI2	PLU12A.1	23/02/2012	27/02/2012	13	yeast-like	wild	none	Ana Pinharanda	
AI3	PLU12A. SM	23/02/2012	27/02/2012	14	yeast-like	wild	none	Ana Pinharanda	
AI4	PLU13A. 1	23/02/2012	27/02/2012	15	yeast-like	wild	none	Ana Pinharanda	
AI5	PLU13A. SM	23/02/2012	27/02/2012	16	yeast-like	wild	none	Ana Pinharanda	
AI6	PLU15A. 1	23/02/2012	27/02/2012	17	yeast-like	wild	none	Ana Pinharanda	
AI7	PLU15A. SM	23/02/2012	27/02/2012	18	yeast-like	wild	none	Ana Pinharanda	
AI8	PLU15B.1	23/02/2012	27/02/2012	19	yeast-like	wild	none	Ana Pinharanda	
AI9	PLU15B. SM	23/02/2012	27/02/2012	20	yeast-like	wild	none	Ana Pinharanda	
AI10	PLU17A. 1	23/02/2012	27/02/2012	21	yeast-like	wild	none	Ana Pinharanda	
AI11	PLU17A. SM	23/02/2012	27/02/2012	22	yeast-like	wild	none	Ana Pinharanda	
AI12	PLU19B.1	23/02/2012	27/02/2012	23	yeast-like	wild	none	Ana Pinharanda	
AI13	PLU19B. SM	23/02/2012	27/02/2012	24	yeast-like	wild	none	Ana Pinharanda	
AI14	ZP565.IA.1	23/02/2012	27/02/2012	1	yeast-like	wild	none	Ana Pinharanda	
AI15	PLU21A.1	23/02/2012	27/02/2012	2	yeast-like	wild	none	Ana Pinharanda	
AI16	PLU21A. SM	23/02/2012	27/02/2012	3	yeast-like	wild	none	Ana Pinharanda	
AI17	PLU21B.1	23/02/2012	27/02/2012	4	yeast-like	wild	none	Ana Pinharanda	
AI18	PLU21B. SM	23/02/2012	27/02/2012	5	yeast-like	wild	none	Ana Pinharanda	very yellow pellet
AI19	PLU22A. 1	23/02/2012	27/02/2012	6	yeast-like	wild	none	Ana Pinharanda	
AI20	PLU22A. SM	23/02/2012	27/02/2012	7	yeast-like	wild	none	Ana Pinharanda	
AI21	PLU22B.1	23/02/2012	27/02/2012	8	yeast-like	wild	none	Ana Pinharanda	
AI22	PLU22B. SM	23/02/2012	27/02/2012	9	yeast-like	wild	none	Ana Pinharanda	
AI23	PLU VIN-VE	23/02/2012	27/02/2012	10	yeast-like	wild	none	Ana Pinharanda	
AI24	PLU11A.1	23/02/2012	27/02/2012	11	yeast-like	wild	none	Ana Pinharanda	
AI25	PLU11A. SM	23/02/2012	27/02/2012	12	yeast-like	wild	none	Ana Pinharanda	
AI26	PLU12A.1	23/02/2012	27/02/2012	13	yeast-like	wild	none	Ana Pinharanda	
AI27	PLU12A. SM	23/02/2012	27/02/2012	14	yeast-like	wild	none	Ana Pinharanda	
AI28	PLU13A.1	23/02/2012	27/02/2012	15	yeast-like	wild	none	Ana Pinharanda	
AI29	PLU13A .SM	23/02/2012	27/02/2012	16	yeast-like	wild	none	Ana Pinharanda	
AI30	PLU15A.1	23/02/2012	27/02/2012	17	yeast-like	wild	none	Ana Pinharanda	
AI31	PLU15A. SM	23/02/2012	27/02/2012	18	yeast-like	wild	none	Ana Pinharanda	
AI32	PLU15B.1	23/02/2012	27/02/2012	19	yeast-like	wild	none	Ana Pinharanda	
